Movie Name,Absolute Value Difference Between Ratings from IMDB and TMDB
12 Years a Slave,0.2
1917,0.2
3 Idiots,0.3
A Beautiful Mind,0.3
A Separation,1.0
American Beauty,0.3
Amores perros,0.4
Amélie,0.3
Avengers: Endgame,0.0
Avengers: Infinity War,0.1
Batman Begins,0.5
Before Sunset,0.2
Capernaum,0.1
Catch Me If You Can,0.1
City of God,0.2
Coco,0.1
Dangal,8.2
Django Unchained,0.3
Downfall,0.9
Eternal Sunshine of the Spotless Mind,0.2
Fight Club,0.4
Finding Nemo,0.3
Ford v Ferrari,0
Gladiator,0.3
Gone Girl,0.2
Gran Torino,0.1
Green Book,0.0
Hachi: A Dog's Tale,0
Hacksaw Ridge,0.1
Hamilton,0.2
Harry Potter and the Deathly Hallows: Part 2,0.0
Hotel Rwanda,0.4
How to Train Your Dragon,0.3
Howl's Moving Castle,0.3
Incendies,0.1
Inception,0.3
Inglourious Basterds,0.1
Inside Out,0.2
Interstellar,0.2
Into the Wild,0.2
Joker,0.1
Kill Bill: Vol. 1,0.1
Kill Bill: Vol. 2,0.1
Klaus,0.2
Like Stars on Earth,0.2
Logan,0.2
Mad Max: Fury Road,0.5
Mary and Max,0.2
Memento,0.2
Memories of Murder,2.2
Million Dollar Baby,0.1
"Monsters, Inc.",0.3
My Father and My Son,0.5
No Country for Old Men,0.2
Oldboy,2.4
Pan's Labyrinth,0.5
Parasite,3.8
Pirates of the Caribbean: The Curse of the Black Pearl,0.2
Prisoners,0.0
Ratatouille,0.2
Requiem for a Dream,0.3
Room,1.6
Rush,1
Shutter Island,0.1
Snatch,0.4
Spider-Man: Into the Spider-Verse,0.1
Spider-Man: No Way Home,0.2
Spirited Away,0.5
Spotlight,0.2
The Dark Knight,0.5
The Dark Knight Rises,0.5
The Departed,0.3
The Father,0.0
The Grand Budapest Hotel,0.0
The Green Mile,0.1
The Handmaiden,0.3
The Help,0.2
The Hunt,1.7
The Incredibles,0.3
The Intouchables,0.2
The Lives of Others,0.3
The Lord of the Rings: The Fellowship of the Ring,0.4
The Lord of the Rings: The Return of the King,0.4
The Lord of the Rings: The Two Towers,0.3
The Matrix,2.0
The Pianist,0.1
The Prestige,0.3
The Secret in Their Eyes,0.1
The Sixth Sense,0.3
The Wolf of Wall Street,0.2
There Will Be Blood,0.1
"Three Billboards Outside Ebbing, Missouri",0.0
Toy Story 3,0.5
Up,0.3
V for Vendetta,0.2
WALL·E,0.3
Warrior,0.3
Whiplash,0.1
Wild Tales,0.3
Your Name.,8.3
